"Comparison","Species","Average","SD","Ratio","Ava","Avb","Cusum","P","Significance"
"Magdalena_Cordoba","Grasa",-0.638811586123664,28.1915616094458,-0.0226596736631158,0.477452981313514,-0.77043549257408,-0.0516181835636167,0.859," "
"Magdalena_Cordoba","Sal",-0.674381058030199,20.9257450262466,-0.0322273380080059,0.114418759960289,-0.443255141325611,-0.00525934601272252,0.807," "
"Magdalena_Cordoba","Proteina",-1.09019375469711,22.6136315066843,-0.0482095834264771,-0.532298833215013,0.48416050395035,0.0799498757866533,0.96," "
"Magdalena_Cordoba","Solidos_Totales",-0.180879606320188,19.4117910487016,-0.00931802768051565,0.0475318490059837,-0.555303118731974,0.186570619205508,0.759," "
"Magdalena_Cordoba","HSMG",-0.416005213115967,10.4205242545185,-0.0399217163124573,0.277283959171176,0.122716289524704,0.350295890114785,0.953," "
"Magdalena_Cordoba","GES",-0.770394350199407,23.1687188108049,-0.03325148690743,0.54153913222059,-0.604493833011847,0.523137497594184,0.932," "
"Magdalena_Cordoba","Carbohidratos_Totales",0.201400147527428,12.022058849003,0.0167525504621974,-0.151254214946121,-0.179561958501194,0.720586990423133,0.606," "
"Magdalena_Cordoba","Calorias",-0.332463265003144,25.4608213085331,-0.0130578374112276,0.292967583519244,-0.725140261070924,1,0.797," "
"Magdalena_La Guajira","Grasa",0.436094688535682,4.93581194477993,0.0883531814855491,0.477452981313514,0.292982511260565,0.184660977134139,0.432," "
"Magdalena_La Guajira","Sal",0.612923347475844,7.79897462741948,0.0785902476616529,0.114418759960289,0.328836381365323,0.36672678503453,0.267," "
"Magdalena_La Guajira","Proteina",0.291262750343807,4.59905438674525,0.0633310080400971,-0.532298833215013,0.0481383292646619,0.538551396054201,0.458," "
"Magdalena_La Guajira","Solidos_Totales",0.178469512097478,4.66570615702874,0.0382513399024539,0.0475318490059837,0.507771269725991,0.668091137224605,0.501," "
"Magdalena_La Guajira","HSMG",0.41772872475331,7.41232240285703,0.0563559842718524,0.277283959171176,-0.400000248695878,0.792175360918514,0.439," "
"Magdalena_La Guajira","GES",0.621659967670257,7.22871253403192,0.0859987120449951,0.54153913222059,0.0629547007912559,0.878693500863778,0.401," "
"Magdalena_La Guajira","Carbohidratos_Totales",0.578446425385539,6.12433037836967,0.0944505586159323,-0.151254214946121,0.330816173447315,0.946986526064914,0.42," "
"Magdalena_La Guajira","Calorias",0.22990802116141,3.25125875809584,0.0707135415133984,0.292967583519244,0.43217267755168,1,0.458," "
"Cordoba_La Guajira","Grasa",24.9900383970831,698.969904401702,0.0357526672317513,-0.77043549257408,0.292982511260565,0.24454678564217,0.215," "
"Cordoba_La Guajira","Sal",4.92820833774837,169.370243808381,0.0290972500655071,-0.443255141325611,0.328836381365323,0.472134183301526,0.21," "
"Cordoba_La Guajira","Proteina",1.93222792203802,63.400717233289,0.0304764363300214,0.48416050395035,0.0481383292646619,0.651701104952697,0.169," "
"Cordoba_La Guajira","Solidos_Totales",19.7171913430168,549.073056862975,0.0359099596976535,-0.555303118731974,0.507771269725991,0.807109602104041,0.211," "
"Cordoba_La Guajira","HSMG",4.92452512533965,134.416456381729,0.0366363260712253,0.122716289524704,-0.400000248695878,0.892672886270159,0.162," "
"Cordoba_La Guajira","GES",17.0644963253106,474.613638723235,0.0359545005306126,-0.604493833011847,0.0629547007912559,0.937554694488677,0.205," "
"Cordoba_La Guajira","Carbohidratos_Totales",9.39520280420907,270.383578974569,0.0347476826804365,-0.179561958501194,0.330816173447315,0.982402959232239,0.243," "
"Cordoba_La Guajira","Calorias",26.8522494036693,747.091043068312,0.0359424057520309,-0.725140261070924,0.43217267755168,1,0.218," "
